tID;uID;GM;RF;SVM;ELS
104;P27338;0;0;0;0
3;O76074;1;1;1;1
10980;P35968;1;1;1;1
100079;P07949;1;1;1;1
20137;Q13315;1;1;1;1
100193;Q99685;1;1;1;1
71;P14324;No data;No data;No data;No data
10044;P68400;1;1;1;1
11942;P00749;1;1;1;1
10197;P49841;1;1;1;1
126;P35354;0.05;0.05;0.05;0.05
12252;P56817;0;0;0;0
10216;Q05513;1;1;1;1
72;P14416;1;1;1;1
12694;P29597;1;1;1;1
103982;P51449;1;1;1;1
8;P00519;1;1;1;1
10531;O96017;1;1;1;1
11451;P08581;1;1;1;1
10003;P07339;1;1;1;1
10434;P12931;1;1;1;1
11639;P27361;1;1;1;1
12227;Q03181;1;1;1;1
11017;P49840;1;1;1;1
104483;O75874;1;1;1;1
100100;O43497;1;1;1;1
73;P14679;0;0;0;0
11359;Q08499;1;1;1;1
12000;P08709;1;1;1;1
11638;P28482;1;1;1;1
10711;P25098;1;1;1;1
10056;P78527;1;1;1;1
9;P00533;1;1;1;1
157;Q02127;1;1;1;1
11902;P04629;1;1;1;1
102439;O60341;1;1;1;1
10907;P53350;1;1;1;1
11365;P10635;0;0;0;0
30017;P51955;1;1;1;1
96;P23219;1;1;1;1
100097;Q06187;1;1;1;1
163;Q07869;1;1;1;1
23;P03952;1;1;1;1
165;Q12809;0.94;0.94;0.94;0.94
11362;P42336;1;1;1;1
12594;P05177;0;0;0;0
47;P08172;1;1;1;1
10108;O95749;No data;No data;No data;No data
10069;P49862;0;0;0;0
10695;P31751;1;1;1;1
235;P08246;1;1;1;1
55;P09917;1;1;1;1
10141;P00338;1;1;1;1
93;P22303;1;1;1;1
174;Q92731;1;1;1;1
10599;Q07343;1;1;1;1
12911;P11712;1;1;1;1
65;P11511;1;1;1;1
12576;P42338;1;1;1;1
6;P00374;0;0;0;0
105596;O43175;0;0;0;0
63;P11388;0;0;0;0
10009;O43613;0;0;0;0
10938;O60674;1;1;1;1
11242;Q05397;1;1;1;1
30025;Q13153;1;1;1;1
100010;Q9Y233;1;1;1;1
10781;Q96GD4;1;1;1;1
10193;P00915;1;1;1;1
10163;P10632;0;0;0;0
10140;P06239;1;1;1;1
155;Q01959;1;1;1;1
10919;P23458;1;1;1;1
12912;P33261;1;1;1;1
11678;P24941;1;1;1;1
252;P29274;1;1;1;1
100417;Q9UM73;1;1;1;1
194;P00742;1;1;1;1
129;P35372;1;1;1;1
11523;Q06124;1;1;1;1
10532;P06276;1;1;1;1
11939;P48736;1;1;1;1
10594;O00408;1;1;1;1
133;P37231;1;1;1;1
12090;Q13627;1;1;1;1
12;P00747;0;0;0;0
10188;Q16539;1;1;1;1
11910;Q13946;1;1;1;1
104197;Q8TEK3;1;1;1;1
170;Q14432;1;1;1;1
11727;P34913;1;1;1;1
12724;P51812;1;1;1;1
17045;P08684;1;1;1;1
11;P00734;1;1;1;1
10266;P11362;1;1;1;1
56;P10275;1;1;1;1
104017;Q9Y4P1;1;1;1;1
11213;P07900;1;1;1;1
10901;P41743;1;1;1;1
10849;P52333;1;1;1;1
12670;P36888;1;1;1;1
62;P11387;0;0;0;0
13005;P06870;1;1;1;1
69;P12821;1;1;1;1
100410;P30530;1;1;1;1
12584;Q9Y337;0;0;0;0
10635;P36544;1;1;1;1
20014;O14965;1;1;1;1
20085;P20813;0;0;0;0
10378;P07858;0;0;0;0
11968;P48147;0;0;0;0
86;P21397;1;1;1;1
11400;P42345;1;1;1;1
12261;P45983;1;1;1;1
76;P15538;1;1;1;1
100643;P14902;1;1;1;1
100126;P15056;1;1;1;1
20143;Q16853;1;1;1;1
103454;O60885;1;1;1;1
100;P23975;1;1;1;1
11480;Q14524;0;0;0;0
19;P03372;1;1;1;1
11177;O00329;1;1;1;1
20139;Q13535;1;1;1;1
121;P31645;1;1;1;1
4;O95180;1;1;1;1
